S8023 (7.6%)
 1.000000  0.000285
 0.996860  0.000427
 0.987667  0.000924
 0.972780  0.001698
 0.952416  0.002622
 0.926751  0.003651
 0.896047  0.004836
 0.860664  0.006193
 0.821007  0.007741
 0.777526  0.009497
 0.730713  0.011505
 0.681173  0.013865
 0.629633  0.016572
 0.576775  0.019477
 0.523228  0.022490
 0.469628  0.025517
 0.416611  0.028466
 0.364803  0.031230
 0.314815  0.033704
 0.267234  0.035761
 0.222622  0.037261
 0.181439  0.037975
 0.144033  0.037773
 0.110698  0.036532
 0.081663  0.034193
 0.057075  0.030659
 0.036961  0.025971
 0.021308  0.020156
 0.009882  0.013425
 0.002583  0.006418
 0.000000  0.000000
 0.002583 -0.006418
 0.009882 -0.013425
 0.021308 -0.020156
 0.036961 -0.025971
 0.057075 -0.030659
 0.081663 -0.034193
 0.110698 -0.036532
 0.144033 -0.037773
 0.181439 -0.037975
 0.222622 -0.037261
 0.267234 -0.035761
 0.314815 -0.033704
 0.364803 -0.031230
 0.416611 -0.028466
 0.469628 -0.025517
 0.523228 -0.022490
 0.576775 -0.019477
 0.629633 -0.016572
 0.681173 -0.013865
 0.730713 -0.011505
 0.777526 -0.009497
 0.821007 -0.007741
 0.860664 -0.006193
 0.896047 -0.004836
 0.926751 -0.003651
 0.952416 -0.002622
 0.972780 -0.001698
 0.987667 -0.000924
 0.996860 -0.000427
 1.000000 -0.000285
